"ID" "Subject" "Session" "PGG_Contrib_t" "PGG_PunAss_t" "PGG_PunRec_t" "PGG_Income_t" "PGG_Leader_t" "PGG_LeaPun_t" "PGG_Contrib_1" "PGG_Contrib_2" "PGG_Contrib_3" "PGG_Contrib_4" "PGG_Contrib_5" "PGG_Contrib_6" "PGG_PunAss_1" "PGG_PunAss_2" "PGG_PunAss_3" "PGG_PunAss_4" "PGG_PunAss_5" "PGG_PunAss_6" "PGG_PunRec_1" "PGG_PunRec_2" "PGG_PunRec_3" "PGG_PunRec_4" "PGG_PunRec_5" "PGG_PunRec_6" "PGG_PunAss1_1" "PGG_PunAss1_2" "PGG_PunAss1_3" "PGG_PunAss1_4" "PGG_PunAss1_5" "PGG_PunAss1_6" "PGG_PunAss2_1" "PGG_PunAss2_2" "PGG_PunAss2_3" "PGG_PunAss2_4" "PGG_PunAss2_5" "PGG_PunAss2_6" "PGG_PunAss3_1" "PGG_PunAss3_2" "PGG_PunAss3_3" "PGG_PunAss3_4" "PGG_PunAss3_5" "PGG_PunAss3_6" "PGG_PunAss4_1" "PGG_PunAss4_2" "PGG_PunAss4_3" "PGG_PunAss4_4" "PGG_PunAss4_5" "PGG_PunAss4_6" "PGG_PunRec1_1" "PGG_PunRec1_2" "PGG_PunRec1_3" "PGG_PunRec1_4" "PGG_PunRec1_5" "PGG_PunRec1_6" "PGG_PunRec2_1" "PGG_PunRec2_2" "PGG_PunRec2_3" "PGG_PunRec2_4" "PGG_PunRec2_5" "PGG_PunRec2_6" "PGG_PunRec3_1" "PGG_PunRec3_2" "PGG_PunRec3_3" "PGG_PunRec3_4" "PGG_PunRec3_5" "PGG_PunRec3_6" "PGG_PunRec4_1" "PGG_PunRec4_2" "PGG_PunRec4_3" "PGG_PunRec4_4" "PGG_PunRec4_5" "PGG_PunRec4_6" "PGG_Leader_1" "PGG_Leader_2" "PGG_Leader_3" "PGG_Leader_4" "PGG_Leader_5" "PGG_Leader_6" "PGG_Income_1" "PGG_Income_2" "PGG_Income_3" "PGG_Income_4" "PGG_Income_5" "PGG_Income_6" "PGG_LeaPun_1" "PGG_LeaPun_2" "PGG_LeaPun_3" "PGG_LeaPun_4" "PGG_LeaPun_5" "PGG_LeaPun_6" "UGDG_diff" "DG_Share" "UG_Prop_Offer" "UG_Prop_Acc" "UG_Rec_Offer" "UG_Rec_Acc" "fair_01" "anger_01" "fair_02" "anger_02" "fair_03" "anger_03" "fair_04" "anger_04" "fair_05" "anger_05" "gender" "bmi" "height" "weight" "hunger" "dom_t" "dom_01" "dom_02" "dom_03" "dom_03_rec" "dom_04" "dom_05" "mach_t" "mach_01" "mach_01_rec" "mach_02" "mach_02_rec" "mach_03" "mach_04" "mach_05" "mach_05_rec" "mach_06" "mach_07" "mach_08" "mach_08_rec" "mach_09" "mach_10" "mach_11" "mach_12" "mach_12_rec" "mach_13" "mach_13_rec" "mach_14" "mach_15" "mach_15_rec" "mach_16" "mach_17" "mach_18" "mach_18_rec" "mach_19" "mach_19_rec" "mach_20" "mach_20_rec" "sss_t" "sss_01" "sss_02" "sss_03" "sss_04" "sss_05" "sss_06" "sss_07" "sss_08" "sss_09" "sss_10" "ldom_01" "lalt_01" "lgood_01" "lhon_01" "ldom_02" "lalt_02" "lgood_02" "lhon_02" "ldom_03" "lalt_03" "lgood_03" "lhon_03" "ldom_04" "lalt_04" "lgood_04" "lhon_04"
"1" 1 1 1 110 5 7 151.6 0 19 20 20 20 20 20 10 3 0 0 2 0 0 0 0 0 1 1 5 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 28.6 32 32 19 21 19 0 0 0 0 0 0 0 50 50 1 50 1 4 2 3 3 4 2 3 3 4 2 0 22.783309 179 73 86 2.2 2 1 2 4 2 2 2.35 4 2 3 3 2 1 5 1 2 4 5 1 2 2 4 5 1 5 1 3 3 3 2 1 2 4 1 5 3 3 1 0 0 0 0 1 0 0 0 0 0 3 3 2 2 3 2 4 5 1 1 5 5 4 4 1 1
"2" 2 2 1 100 11 14 134.6 2 20 20 20 20 0 20 20 1 0 0 3 3 4 1 0 0 12 1 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 1 3 2 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 7 1 0 0 0 0 3 0 0 0 1 1 0 0 0 27.6 32 32 5 18 20 0 0 0 0 0 0 0 50 50 1 40 1 2 2 2 2 2 2 2 2 2 3 0 23.507805 165 64 39 2 2 2 4 2 2 2 2.7 4 2 3 3 2 2 5 1 2 2 5 1 3 3 4 2 4 4 2 4 2 4 2 2 2 4 1 5 4 2 4 0 0 1 1 0 0 1 1 0 0 2 2 3 2 2 4 3 4 2 2 2 2 2 2 2 2
"3" 3 3 1 89 14 15 139.6 2 15 19 20 20 20 0 10 0 0 0 7 3 4 2 0 0 1 7 5 0 0 0 0 1 0 0 0 0 7 1 0 0 0 0 0 0 0 0 0 0 0 1 4 1 0 0 0 0 0 1 0 0 1 3 2 0 0 0 0 0 0 0 0 0 0 4 3 1 0 0 0 1 0 26.6 32 32 14 20 15 0 0 0 0 3 0 40 0 40 1 50 1 4 3 3 3 2 2 2 3 2 3 1 22.877406 187 80 74 1.6 1 1 4 2 2 2 3.55 2 4 2 4 4 4 2 4 4 4 4 2 3 4 4 4 2 3 3 4 2 4 3 4 3 3 1 5 4 2 3 0 0 0 0 1 0 1 0 0 1 2 2 3 2 2 3 3 3 2 3 4 4 4 2 2 3
"4" 4 4 1 120 13 7 133.6 2 6 20 20 20 20 20 20 0 0 0 3 4 6 1 0 0 1 1 4 0 0 0 0 0 3 0 0 0 3 0 0 0 0 0 0 4 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 0 1 0 1 28.6 32 32 18 17 6 0 0 0 3 0 6 50 0 50 1 50 1 3 2 4 2 5 2 5 2 5 2 1 22.160665 190 80 96 1.8 1 2 4 2 2 2 2.95 3 3 3 3 3 2 4 2 4 4 4 2 2 3 2 3 3 4 2 4 3 3 4 4 3 3 2 4 4 2 7 0 0 0 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 2 5 5 5 2 2 2 2
"5" 5 1 2 120 0 0 174.4 1 32 20 20 20 20 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 24.8 29.6 32 32 24 32 0 0 0 0 0 0 0 50 50 1 35 1 4 2 3 3 1 5 2 4 1 5 0 21.295295 172 63 96 2.2 2 3 4 2 2 2 2.7 5 1 4 2 2 2 4 2 3 4 5 1 2 2 4 4 2 4 2 5 4 2 5 4 2 4 2 4 5 1 4 0 0 0 0 1 0 1 1 1 0 2 4 3 2 2 5 3 4 2 5 3 5 2 5 3 5
"6" 6 2 2 120 10 0 164.4 1 32 20 20 20 20 20 20 3 2 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 2 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 21.8 27.6 32 32 19 32 0 0 0 0 0 0 10 10 20 0 50 1 2 4 2 4 1 5 1 5 1 5 0 20.936639 165 57 100 1.2 1 1 4 2 1 1 2.25 3 3 4 2 1 3 3 3 1 2 5 1 1 1 4 3 3 3 3 4 5 1 1 5 4 2 3 3 5 1 6 1 0 0 0 1 1 1 0 1 1 2 1 2 1 1 1 1 3 1 1 5 3 1 1 5 3
"7" 7 3 2 110 4 4 168.4 1 29 10 20 20 20 20 20 0 1 0 0 3 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 25.8 28.6 32 32 21 29 0 0 0 0 0 0 0 50 50 1 50 1 2 5 2 5 3 4 2 4 2 5 0 25.711662 165 70 100 3.8 3 5 2 4 3 4 2.65 5 1 5 1 2 4 4 2 3 4 4 2 4 4 4 4 2 4 2 4 4 2 2 3 4 2 2 4 5 1 3 0 0 0 0 0 0 1 1 0 1 2 4 4 2 2 4 4 5 2 4 4 5 2 4 4 5
"8" 8 4 2 86 3 13 166.4 3 31 12 14 20 20 0 20 2 0 0 0 0 1 2 3 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 5 0 0 1 0 0 3 0 0 0 0 0 0 0 1 1 0 0 1 0 24.8 26.6 32 32 20 31 2 0 0 0 0 0 10 25 35 1 20 0 2 4 1 4 2 3 2 3 2 3 1 20.096069 202 82 71 3.2 2 3 2 4 4 3 3.15 4 2 4 2 4 4 4 2 4 4 4 2 2 2 4 2 4 4 2 5 3 3 4 2 4 2 1 5 2 4 4 0 0 0 0 1 1 1 1 0 0 2 3 2 1 2 4 4 5 1 4 4 5 1 4 4 5
"9" 9 1 3 70 11 4 133.2 0 23.2 10 10 10 14 12 14 3 2 2 2 1 1 0 0 2 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 2 1 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 24 24 18.4 20.8 22.8 23.2 0 0 0 0 0 0 10 30 40 1 40 1 4 3 3 3 2 5 3 3 3 3 0 19.591837 175 60 77 3.6 4 3 2 4 4 3 2.85 3 3 2 4 2 3 4 2 2 4 3 3 1 3 4 2 4 5 1 3 3 3 4 3 2 4 3 3 5 1 5 1 0 0 0 1 1 0 1 1 0 2 3 3 1 2 4 4 5 1 4 4 5 2 2 2 1
"10" 10 2 3 69 9 8 123.2 3 23.2 10 6 13 8 14 18 2 0 4 1 2 0 1 3 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 4 1 2 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 1 0 1 1 0 0 1 0 21 21 13.4 24.8 19.8 23.2 2 0 0 0 2 0 -9 60 51 1 50 1 4 2 2 3 2 4 3 3 4 4 0 20.761246 170 60 77 1.8 2 2 4 2 1 2 2.7 4 2 4 2 4 2 4 2 2 2 3 3 3 2 4 2 4 5 1 2 4 2 4 3 2 4 1 5 5 1 5 0 0 0 1 0 1 1 1 1 0 2 2 2 2 5 5 5 5 2 5 5 5 3 3 2 2
